261 -3437 240 "^1Command Post"
178 -1056 172 "^1Door Control"
8041 -1973 -310 "^1Escape Truck"
3714 -3647 62 "^1Gate Controls"
1006 -2826 -15 "^1Power Supply"
7808 -2883 -330 "^1Rocket Controls"
3850 218 300 "^2Bunker Spawn"
3524 -294 300 @
41 1095 512 "^2Forward Spawn"
3392 -4844 80 "^2Gate Spawn"
3737 -4936 80 @
8741 -1070 -63 "^2Rocket Hall Spawn"
8864 -1207 -63 @
6208 -1401 -311 "^3Back Path"
6653 -1956 -319 @
-248 1580 508 "^3Barracks"
-626 1579 525 @
-626 1579 348 "^3Barracks Storage"
2113 -2218 64 "^3Basement"
2218 -2826 64 @
2910 -2769 56 @
2691 -2229 64 @
1534 -4294 240 "^3CP Office Stairs"
537 -3026 239 "^3CP Offices"
469 -3438 240 @
921 -4283 240 @
813 -4398 240 @
1032 -4395 215 @
1355 -4297 240 @
1009 -3124 240 @
2113 -2218 200 "^3East Loading Bay"
2218 -2826 200 @
74 583 500 "^3Flag Room Overlook"
-614 1094 348 "^3Flag Room Stairs"
282 1718 356 @
7361 -3045 -319 "^3Forklift"
2910 -2769 264 "^3Gate Bunker"
2691 -2229 224 @
2600 -3679 67 "^3Gate Courtyard"
2909 -3407 224 @
3146 -2772 64 @
3748 -2893 58 @
3755 -2390 62 @
3758 -3262 56 @
3740 -4000 64 @
3418 -3831 54 @
3120 -2390 56 @
3899 -3995 80 "^3Gate Office"
4295 -3862 80 @
3398 -4514 80 @
3739 -4446 80 @
2640 -4204 48 "^3Gate Storage"
2989 -4838 80 @
5290 -1584 -151 "^3Large Cave"
6059 -1402 -318 @
1235 -2844 0 "^3Power Supply Room"
537 -3026 0 @
1009 -3124 0 @
7049 -2129 -319 "^3Rocket Courtyard"
6933 -3038 -319 @
7668 -3051 -319 @
8101 -2873 -322 @
7808 -2601 -281 @
8047 -2317 -315 @
7711 -1959 -319 @
7490 -1711 -83 @
8534 -1917 -287 @
8361 -2739 -159 @
7073 -3750 -301 @
7366 -3418 -311 @
6986 -2025 -125 @
7367 -2722 -319 @
3480 -2369 64 "^3Rocket Gate"
3896 -2890 70 "^3Rocket Gate Yard"
3757 -2281 58 @
3878 -2383 60 @
3485 -2099 68 @
3877 -3266 56 @
3112 -2288 72 @
5077 -3207 -63 @
5535 -1975 -290 @
5279 -1744 -199 @
8737 -1206 -63 "^3Rocket Hall"
8534 -1917 -57 @
8938 -2025 -63 @
7482 -1549 -63 @
7949 -1567 -51 @
8551 -2754 -159 @
5079 -3395 -55 "^3Rocket Tunnel High"
4472 -3852 40 @
6295 -3583 -95 @
6731 -2044 -95 @
6706 -3027 -95 @
6657 -2137 -319 "^3Rocket Tunnel Low"
6706 -3027 -319 @
5847 -1971 -327 @
7059 -3948 -239 "^3Small Cave"
6306 -3786 -102 @
219 -1725 48 "^3Small West Storage"
-571 -1527 -31 @
3202 218 300 "^3Storage Corridors"
2391 531 492 @
375 -1723 60 "^3Storage Courtyard"
990 -2307 82 @
479 -2148 56 @
925 -1535 42 @
369 -1451 53 @
1968 -2220 56 @
1989 -2822 60 @
1822 -3691 68 @
1837 -3990 74 @
1207 -2335 80 @
916 -855 172 "^3Storage Door"
2240 759 172 "^3Storage East"
3353 -299 276 @
2222 -688 172 @
2432 162 172 @
76 369 496 "^3Storage Hall"
277 399 212 @
1687 438 172 @
1162 171 172 @
1152 -470 172 @
1490 -106 172 @
800 -93 172 @
180 -775 172 @
916 -855 490 @
913 -632 172 @
2033 -690 172 @
1783 176 174 @
69 -515 490 @
1158 -118 -34 "^3Storage Hall Pit"
-78 -516 500 "^3Storage Hall Tunnel"
-249 350 500 @
2032 1012 172 "^3Storage North"
1115 1700 172 @
908 -1227 99 "^3Storage Ramp"
356 -1246 93 @
1029 914 172 "^3Storage Tunnel"
276 613 212 @
2031 910 180 "^3Storage Vent"
2132 758 180 @
-781 227 188 "^3Storage West"
-686 -897 144 @
143 -2746 176 "^3West Loading Bay"
1006 -2826 176 @
-691 -1102 144 "^3West Loading Tunnel"
-571 -1527 141 @
-29 -2750 176 @
931 -4400 217 "^7DRAGONS!!!"
